class	property	type	description	accepted_types
CommunicateAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.	Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience
CommunicateAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.	Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience
AuthorizeAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.	Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience
AuthorizeAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.	Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience
AuthorizeAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.	Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience
AuthorizeAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.	Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience or Person or Organization or ContactPoint or Audience
Recipe	recipeYield	Text	The quantity produced by the recipe (for example, number of people served, number of servings, etc).	Text or QuantitativeValue
Recipe	recipeYield	QuantitativeValue	The quantity produced by the recipe (for example, number of people served, number of servings, etc).	Text or QuantitativeValue
Recipe	recipeInstructions	Text	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.	Text or ItemList or CreativeWork
Recipe	recipeInstructions	ItemList	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.	Text or ItemList or CreativeWork
Recipe	recipeInstructions	CreativeWork	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.	Text or ItemList or CreativeWork
Recipe	recipeIngredient	Text	A single ingredient used in the recipe, e.g. sugar, flour or garlic.	Text
Recipe	recipeCuisine	Text	The cuisine of the recipe (for example, French or Ethiopian).	Text
Recipe	recipeCategory	Text	The category of the recipe—for example, appetizer, entree, etc.	Text
CookAction	recipe	Recipe	A sub property of instrument. The recipe/instructions used to perform the action.	Recipe
RentAction	realEstateAgent	RealEstateAgent	A sub property of participant. The real estate agent involved in the action.	RealEstateAgent
PropertyValueSpecification	readonlyValue	Boolean	"Whether or not a property is mutable.  Default is false. Specifying this for a property that also has a value makes it act similar to a ""hidden"" input in an HTML form."	Boolean
Rating	ratingValue	Text	The rating for the content.	Text or Number
Rating	ratingValue	Number	The rating for the content.	Text or Number
AggregateRating	ratingCount	Integer	The count of total number of ratings.	Integer
AskAction	question	Question	A sub property of object. A question.	Question
VideoGameSeries	quest	Thing	The task that a player-controlled character, or group of characters may complete in order to gain a reward.	Thing or Thing
Game	quest	Thing	The task that a player-controlled character, or group of characters may complete in order to gain a reward.	Thing or Thing
SearchAction	query	Text	A sub property of instrument. The query used on this action.	Text
JobPosting	qualifications	Text	Specific qualifications required for this role.	Text
Vehicle	purchaseDate	Date	The date the item e.g. vehicle was purchased by the current owner.	Date or Date
Product	purchaseDate	Date	The date the item e.g. vehicle was purchased by the current owner.	Date or Date
Person	publishingPrinciples	URL	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"	URL or CreativeWork or URL or CreativeWork or URL or CreativeWork
Person	publishingPrinciples	CreativeWork	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"	URL or CreativeWork or URL or CreativeWork or URL or CreativeWork
Organization	publishingPrinciples	URL	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"	URL or CreativeWork or URL or CreativeWork or URL or CreativeWork
Organization	publishingPrinciples	CreativeWork	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"	URL or CreativeWork or URL or CreativeWork or URL or CreativeWork
CreativeWork	publishingPrinciples	URL	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"	URL or CreativeWork or URL or CreativeWork or URL or CreativeWork
CreativeWork	publishingPrinciples	CreativeWork	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"	URL or CreativeWork or URL or CreativeWork or URL or CreativeWork
CreativeWork	publisher	Person	The publisher of the creative work.	Person or Organization
CreativeWork	publisher	Organization	The publisher of the creative work.	Person or Organization
PublicationEvent	publishedOn	BroadcastService	A broadcast service associated with the publication event.	BroadcastService
CreativeWork	publication	PublicationEvent	A publication event associated with the item.	PublicationEvent
Place	publicAccess	Boolean	A flag to signal that the [[Place]] is open to public visitors.  If this property is omitted there is no assumed default boolean value	Boolean
ServiceChannel	providesService	Service	The service provided by this channel.	Service
BroadcastChannel	providesBroadcastService	BroadcastService	The BroadcastService offered on this channel.	BroadcastService
Service	providerMobility	Text	Indicates the mobility of a provided service (e.g. 'static', 'dynamic').	Text
Trip	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Trip	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Service	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Service	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Reservation	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Reservation	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
ParcelDelivery	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
ParcelDelivery	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Invoice	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
Invoice	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
CreativeWork	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
CreativeWork	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.	Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization or Person or Organization
NutritionInformation	proteinContent	Mass	The number of grams of protein.	Mass
PropertyValue	propertyID	URL	"A commonly used identifier for the characteristic represented by the property, e.g. a manufacturer or a standard code for a property. propertyID can be
(1) a prefixed string, mainly meant to be used with standards for product properties; (2) a site-specific, non-prefixed string (e.g. the primary key of the property or the vendor-specific id of the property), or (3)
a URL indicating the type of the property, either pointing to an external vocabulary, or a Web resource that describes the property (e.g. a glossary entry).
Standards bodies should promote a standard prefix for the identifiers of properties from their standards."	URL or Text
PropertyValue	propertyID	Text	"A commonly used identifier for the characteristic represented by the property, e.g. a manufacturer or a standard code for a property. propertyID can be
(1) a prefixed string, mainly meant to be used with standards for product properties; (2) a site-specific, non-prefixed string (e.g. the primary key of the property or the vendor-specific id of the property), or (3)
a URL indicating the type of the property, either pointing to an external vocabulary, or a Web resource that describes the property (e.g. a glossary entry).
Standards bodies should promote a standard prefix for the identifiers of properties from their standards."	URL or Text
APIReference	programmingModel	Text	Indicates whether API is managed or unmanaged.	Text
SoftwareSourceCode	programmingLanguage	Text	The computer programming language.	Text or ComputerLanguage
SoftwareSourceCode	programmingLanguage	ComputerLanguage	The computer programming language.	Text or ComputerLanguage
ProgramMembership	programName	Text	The program providing the membership.	Text
Reservation	programMembershipUsed	ProgramMembership	Any membership in a frequent flyer, hotel loyalty program, etc. being applied to the reservation.	ProgramMembership
TechArticle	proficiencyLevel	Text	Proficiency needed for this content; expected values: 'Beginner', 'Expert'.	Text
Vehicle	productionDate	Date	The date of production of the item, e.g. vehicle.	Date or Date
Product	productionDate	Date	The date of production of the item, e.g. vehicle.	Date or Date
VideoGameSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
TVSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
RadioSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
MovieSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
Movie	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
MediaObject	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
Episode	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
CreativeWorkSeason	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.	Organization or Organization or Organization or Organization or Organization or Organization or Organization or Organization
ContactPoint	productSupported	Text	"The product or service this support contact point is related to (such as product support for a particular product line). This can be a specific product or product line (e.g. ""iPhone"") or a general category of products or services (e.g. ""smartphones"")."	Text or Product
ContactPoint	productSupported	Product	"The product or service this support contact point is related to (such as product support for a particular product line). This can be a specific product or product line (e.g. ""iPhone"") or a general category of products or services (e.g. ""smartphones"")."	Text or Product
Product	productID	Text	"The product identifier, such as ISBN. For example: ``` meta itemprop=""productID"" content=""isbn:123-456-789"" ```."	Text
Service	produces	Thing	The tangible thing generated by the service, e.g. a passport, permit, etc.	Thing
CreativeWork	producer	Person	The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).	Person or Organization
CreativeWork	producer	Organization	The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).	Person or Organization
SoftwareApplication	processorRequirements	Text	Processor architecture required to run the application (e.g. IA64).	Text
ServiceChannel	processingTime	Duration	Estimated processing time for the service using this channel.	Duration
NewsArticle	printSection	Text	If this NewsArticle appears in print, this field indicates the print section in which the article appeared.	Text
NewsArticle	printPage	Text	If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).	Text
NewsArticle	printEdition	Text	The edition of the print product in which the NewsArticle appears.	Text
NewsArticle	printColumn	Text	The number of the column in which the NewsArticle appears in the print edition.	Text
WebPage	primaryImageOfPage	ImageObject	Indicates the main image on the page.	ImageObject
Offer	priceValidUntil	Date	The date after which the price is no longer available.	Date
UnitPriceSpecification	priceType	Text	A short text or acronym indicating multiple price specifications for the same offer, e.g. SRP for the suggested retail price or INVOICE for the invoice price, mostly used in the car industry.	Text
TradeAction	priceSpecification	PriceSpecification	One or more detailed price specifications, indicating the unit price and delivery or payment charges.	PriceSpecification or PriceSpecification or PriceSpecification
Offer	priceSpecification	PriceSpecification	One or more detailed price specifications, indicating the unit price and delivery or payment charges.	PriceSpecification or PriceSpecification or PriceSpecification
Demand	priceSpecification	PriceSpecification	One or more detailed price specifications, indicating the unit price and delivery or payment charges.	PriceSpecification or PriceSpecification or PriceSpecification
LocalBusiness	priceRange	Text	The price range of the business, for example ```$$$```.	Text
Ticket	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."	Text or Text or Text or Text
Reservation	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."	Text or Text or Text or Text
PriceSpecification	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."	Text or Text or Text or Text
Offer	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."	Text or Text or Text or Text
CompoundPriceSpecification	priceComponent	UnitPriceSpecification	This property links to all [[UnitPriceSpecification]] nodes that apply in parallel for the [[CompoundPriceSpecification]] node.	UnitPriceSpecification
TradeAction	price	Text	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"	Text or Number or Text or Number or Text or Number
TradeAction	price	Number	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"	Text or Number or Text or Number or Text or Number
PriceSpecification	price	Text	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"	Text or Number or Text or Number or Text or Number
PriceSpecification	price	Number	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"	Text or Number or Text or Number or Text or Number
Offer	price	Text	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"	Text or Number or Text or Number or Text or Number
Offer	price	Number	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"	Text or Number or Text or Number or Text or Number
Event	previousStartDate	Date	Used in conjunction with eventStatus for rescheduled or cancelled events. This property contains the previously scheduled start date. For rescheduled events, the startDate property should be used for the newly scheduled start date. In the (rare) case of an event that has been postponed and rescheduled multiple times, this field may be repeated.	Date
ListItem	previousItem	ListItem	A link to the ListItem that preceeds the current one.	ListItem
HowToDirection	prepTime	Duration	The length of time it takes to prepare the items to be used in instructions or a direction, in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).	Duration or Duration
HowTo	prepTime	Duration	The length of time it takes to prepare the items to be used in instructions or a direction, in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).	Duration or Duration
ProductModel	predecessorOf	ProductModel	A pointer from a previous, often discontinued variant of the product to its newer variant.	ProductModel
Thing	potentialAction	Action	Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role.	Action
PostalAddress	postalCode	Text	The postal code. For example, 94043.	Text or Text or Text
GeoShape	postalCode	Text	The postal code. For example, 94043.	Text or Text or Text
GeoCoordinates	postalCode	Text	The postal code. For example, 94043.	Text or Text or Text
PostalAddress	postOfficeBoxNumber	Text	The post office box number for PO box addresses.	Text
ListItem	position	Text	The position of an item in a series or sequence of items.	Text or Integer or Text or Integer
ListItem	position	Integer	The position of an item in a series or sequence of items.	Text or Integer or Text or Integer
CreativeWork	position	Text	The position of an item in a series or sequence of items.	Text or Integer or Text or Integer
CreativeWork	position	Integer	The position of an item in a series or sequence of items.	Text or Integer or Text or Integer
GeoShape	polygon	Text	A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more space delimited points where the first and final points are identical.	Text
GameServer	playersOnline	Integer	Number of players on the server.	Integer
MediaObject	playerType	Text	Player type required&#x2014;for example, Flash or Silverlight.	Text
VideoGameSeries	playMode	GamePlayMode	Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.	GamePlayMode or GamePlayMode
VideoGame	playMode	GamePlayMode	Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.	GamePlayMode or GamePlayMode
TaxiReservation	pickupTime	DateTime	When a taxi will pickup a passenger or a rental car can be picked up.	DateTime or DateTime
RentalCarReservation	pickupTime	DateTime	When a taxi will pickup a passenger or a rental car can be picked up.	DateTime or DateTime
TaxiReservation	pickupLocation	Place	Where a taxi will pick up a passenger or a rental car can be picked up.	Place or Place
RentalCarReservation	pickupLocation	Place	Where a taxi will pick up a passenger or a rental car can be picked up.	Place or Place
Place	photos	Photograph	Photographs of this place.	Photograph or ImageObject
Place	photos	ImageObject	Photographs of this place.	Photograph or ImageObject
Place	photo	Photograph	A photograph of this place.	Photograph or ImageObject
Place	photo	ImageObject	A photograph of this place.	Photograph or ImageObject
